sfera,Україна,Крим,Вінницька,Волинська,Дніпропетровська,Донецька,Житомирська,Закарпатська,Запорізька,Івано-Франківська,Київська,Кіровоградська,Луганська,Львівська,Миколаївська,Одеська,Полтавська,Рівненська,Сумська,Тернопільська,Харківська,Херсонська,Хмельницька,Черкаська,Чернівецька,Чернігівська,Київ,Севастополь
1995,73,70,58,53,91,97,61,50,84,65,78,58,82,62,68,66,76,61,66,53,72,59,55,63,55,57,100,83
1996,126,118,100,90,159,158,102,86,146,105,128,103,132,107,116,117,130,105,115,90,127,102,95,111,94,104,177,137
1997,143,134,112,103,179,180,114,100,163,116,145,127,151,122,131,134,142,117,127,102,149,120,109,122,108,116,215,153
1998,153,143,115,105,189,195,118,108,183,120,151,119,163,132,145,146,150,120,130,104,159,125,114,127,106,122,247,159
1999,178,168,129,118,209,220,134,130,215,140,179,153,184,152,169,183,173,135,150,112,184,143,127,146,123,141,303,187
2000,230,225,159,150,273,292,164,172,289,188,241,170,232,196,227,236,220,173,194,135,230,173,156,175,157,177,405,251
2001,311,301,215,201,370,383,220,238,379,259,317,231,320,272,327,306,292,245,259,190,310,233,211,229,218,235,549,325
2002,376,358,265,253,438,452,268,295,445,318,378,282,393,339,398,379,354,312,307,237,370,289,258,276,271,277,643,391
2003,462,433,334,319,526,550,334,379,541,402,470,353,474,419,470,454,437,390,379,304,455,356,323,350,344,342,761,486
2004,590,543,435,412,667,712,434,479,671,510,592,455,596,523,565,566,560,506,473,388,569,451,419,465,441,438,967,594
2005,806,730,597,591,913,962,602,665,860,718,811,624,805,713,744,768,758,685,663,553,759,625,584,642,621,602,1314,803
2006,1041,952,793,773,1139,1202,793,868,1091,923,1058,819,1022,923,955,966,961,888,857,727,974,800,792,846,819,790,1729,1005
2007,1351,1220,1028,1013,1455,1535,1033,1091,1394,1180,1362,1054,1323,1183,1202,1226,1243,1133,1098,943,1251,1017,1045,1085,1051,1016,2300,1302
2008,1806,1609,1404,1380,1876,2015,1404,1453,1812,1543,1852,1428,1769,1570,1621,1633,1661,1523,1472,1313,1679,1375,1429,1459,1402,1370,3074,1726
2009,1906,1707,1511,1427,1963,2116,1493,1562,1843,1627,1987,1537,1873,1667,1806,1787,1733,1614,1593,1412,1804,1482,1521,1532,1523,1465,3161,1882
2010,2239,1991,1782,1692,2369,2549,1785,1846,2187,1927,2295,1815,2271,1941,2122,2046,2102,1960,1866,1659,2060,1733,1786,1835,1772,1711,3431,2167
2011,2633,2295,2074,1994,2790,3063,2071,2069,2607,2213,2761,2114,2742,2244,2448,2387,2481,2211,2177,1871,2407,1970,2075,2155,1985,1974,4012,2476
2012,3026,2654,2432,2339,3138,3496,2369,2351,2927,2539,3157,2428,3090,2578,2822,2700,2850,2575,2503,2185,2753,2269,2425,2508,2329,2308,4607,2891
2013,3265,2850,2651,2580,3336,3755,2561,2553,3142,2679,3351,2608,3337,2789,3094,2947,2988,2844,2702,2359,2975,2464,2641,2682,2484,2504,5007,3114
2014,3480,NA,2810,2721,3641,3858,2763,2744,3432,2875,3489,2789,3377,2961,3344,3129,3179,3033,2877,2527,3143,2617,2878,2829,2578,2690,5376,NA
2015,4195,NA,3396,3291,4366,4980,3271,3381,4200,3402,4153,3282,3427,3646,3984,3897,3783,3573,3449,2994,3697,3123,3371,3360,3050,3295,6732,NA
2016,5183,NA,4189,4047,5075,5989,4000,4298,5080,4202,5229,3974,4637,4559,4887,4809,4621,4364,4131,3695,4448,4046,4043,4148,3828,4002,8648,NA